"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1417851_at",-0.727774161724668,6.81455601769613,-10.8144924983056,2.87880924907565e-11,2.99396161903867e-09,15.7542251863626
"1417574_at",-0.863031921112707,9.02278653733567,-10.0010509123381,1.56202337721106e-10,8.12252156149752e-09,14.052298416529
"1448823_at",-0.511403173788986,8.90349588600753,-7.12958696941345,1.21071955313231e-07,4.19716111752535e-06,7.34841592784556
"1417625_s_at",-0.59213405306568,8.80191165327968,-6.67753111368075,3.79745916249596e-07,9.87339382248949e-06,6.19862185783461
"1448859_at",-0.49207518355353,7.03744862057596,-6.27455630510181,1.0722524762529e-06,2.23028515060604e-05,5.15611765437459
