"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1419490_at",-0.645809414329589,7.324603538384,-8.39339314155708,5.66983461278118e-09,4.36585749901432e-07,10.582167318723
"1417574_at",-0.70616820931858,9.02278653733567,-8.18327114130861,9.29760131158418e-09,4.36585749901432e-07,10.0886572805928
"1417625_s_at",-0.714331831018979,8.80191165327968,-8.05556276053708,1.25938197086952e-08,4.36585749901432e-07,9.78581234391708
"1448823_at",-0.537278512981431,8.90349588600753,-7.4903209080959,4.94903603266035e-08,1.28674936849169e-06,8.41964195087773
"1448710_at",-0.759797100168314,8.19218581298003,-7.19855856070028,1.01910834998583e-07,2.11974536797053e-06,7.69857182482508
"1436242_a_at",0.42979517574436,8.64379448604309,5.62963823048104,5.82578755134679e-06,0.000100980317556678,3.66713740441021
"1424495_a_at",0.453484896207542,7.89258179800342,4.77777803442398,5.65317770914192e-05,0.000839900688215371,1.41743215675963
"1415803_at",0.268100891344728,6.78736778382619,4.2421449708357,0.000236222995022705,0.00307089893529517,0.0128029782710355
"1451374_x_at",0.3480839670663,7.11682056501135,4.14807442797836,0.000303205142832195,0.00350370387272759,-0.231177330281147
