"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1418457_at",-1.1876748419109,7.42417308952334,-12.7305259446466,7.28626315357193e-13,7.57771367971481e-11,19.3797160271469
"1450020_at",-0.641248507979011,6.89112954247386,-8.27940375863293,7.40941073703464e-09,3.85289358325801e-07,10.0425827949929
"1418456_a_at",-0.653514245069304,7.33795795030802,-7.37179579537097,6.62830625797519e-08,2.29781283609807e-06,7.82586133811336
"1438007_at",-0.590862505425086,6.65738082018472,-7.20675893676417,9.98483694898371e-08,2.59605760673576e-06,7.41184505319862
"1450019_at",-0.248140655187653,6.45456921559401,-3.93210357411416,0.000536229517021876,0.00944276892911055,-1.1704889299217
"1417936_at",-0.27237104974284,6.92489719923807,-3.9260881873793,0.000544775130525608,0.00944276892911055,-1.18595887530909
